text,label
"Breaking: Scientists discover water on Mars in unprecedented quantities, confirming earlier satellite data.",real
"Government releases new employment figures showing steady growth in the tech sector.",real
"New study shows exercise improves mental health and cognitive function in adults.",real
"Climate scientists report record-breaking temperatures across multiple continents this year.",real
"Medical researchers announce breakthrough in cancer treatment showing promising results.",real
"Shocking! Celebrity endorses miracle cure that doctors don't want you to know about.",fake
"NASA admits moon landing was staged according to anonymous insider from unknown source.",fake
"Secret government program controls weather patterns worldwide, whistleblower claims.",fake
"Celebrity reveals secret to eternal youth that pharmaceutical companies are hiding.",fake
"Breaking: Mainstream media admits to spreading false information for decades.",fake

