text,model,label,score
you have win 1 million,best,unknown,0.0
you have win 1 million,best,unknown,0.0
you have win 1 million,best,unknown,0.0
you have win 1 million,rf,unknown,0.0
you have win 1 million,rf,unknown,0.0
you have win 1 million,rf,unknown,0.0
you have win 1 million,rf,unknown,0.0
you have win 1 million,rf,unknown,0.0
you have win 1 million,rf,unknown,0.0
you have win 1 million,rf,unknown,0.0
you have win 1 million,rf,unknown,0.0
you have win 1 million,rf,unknown,0.0
you have win 1 million,rf,unknown,0.0
you have win 1 million,rf,unknown,0.0
you have win 1 million,rf,unknown,0.0
you have win 1 million,best,unknown,0.0
you have win 1 million,best,unknown,0.0
you have win 1 million,best,unknown,0.0
you have win 1 million,best,unknown,0.0
you have win 1 million,best,unknown,0.0
you have win 1 million,best,unknown,0.0
you have win 1 million,best,unknown,0.0
you have win 1 million,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
